"tweet_id","text","label"
"956925530799996934","Just 1 Left -------&gt; #PawPatrol Toddler Boys Calling All Pups Hooded Sweatshirt and Pants Set Size 3T #ad <em>URL01 Removed</em>","0"
"961624119245553665","“Jesus said to his disciples, ‘Truly I tell you, it will be hard for a rich person to enter the kingdom of heaven.’ <em>URL01 Removed</em>","0"
"691665082988826624","@USER01 here's your honorable mention. Click ""like"" ~&gt;&gt; <em>URL01 Removed</em>","0"
"787553447285395457","Ping Pong Black Belts Making Epic Trick Shots: And you know it's on like ping pong.
The post Ping Pong Black ... <em>URL01 Removed</em>","0"
"759067964343586819","Budget-Conscious Parents Save Money with @USER01 <em>URL01 Removed</em> via @USER02 (sponsored) #moneysavingtips","0"
"953918911661182977","Happy Winnie The Pooh Day - a very top bear ! Tigger of course is my favourite !","0"
"935569274005057536","These super-cute holiday treats are small in size, but sure to make a BIG impression  #ad <em>URL01 Removed</em> <em>URL02 Removed</em>","0"
"924437387983417345","#Win Colorific Build-a-Bot PINK Rabbit #MyWOWgift #HeartThis #STEM #Toys #Giveaway #sponsored <em>URL01 Removed</em> htt…","0"
"928395960484548610","@USER01 @USER02 @USER03 Definitely worth going if you can get over!","0"
"736652425658957825","Ready to re-live Parenthood?! Check it out on @USER01 starting Mon 8pmEST! #SquadGoals #ad #WelcometoParenthood #THIS <em>URL01 Removed</em>","0"
"917778211878199297","@USER01 Total lack of promotion would be my guess... every channel I  watched there was an ad for the brave on nbc. but didnt see a peep about CW.","0"
"772351011604209664","Understand how heating/cooling systems work #ThingsMechanicsWishEveryoneKnew #ad- <em>URL01 Removed</em> @USER01 <em>URL02 Removed</em>","0"
"871464336522448898","This man was born with a rare blood type - and he used it to save over 2 million kids! <em>URL01 Removed</em>","0"
"795380962842595328","My milkweed is going to seed! Save the butterflies! <em>URL01 Removed</em>","0"
"857923946808737792","Week Three of the Click, Color, Capture Photography Challenge: Yellow <em>URL01 Removed</em>","0"
"781287878206816256","#ad Hola everyone! I'm so excited to be chatting with you all today about #DairyEnvy and #NationalCoffeeDay! Coffee is my…","0"
"773751054152458241","Light 'n' easy! 9 slow cooker dinners to save you time this spring <em>URL01 Removed</em>","0"
"998668624922644481","The latest The Sue Atkins Daily! <em>URL01 Removed</em> Thanks to @USER01 @USER02 @USER03 #ad #leadership","0"
"776629131941388288","Trump just tweaked his tax plan. It's still a massive giveaway to the rich <em>URL01 Removed</em> via @USER01","0"
"973392826808586240","There are some great savings on frozen and dairy products right now at Publix! It's the perfect time to grab the ingredi…","0"
"963061726580109312","“Therefore, he is able to save completely those who come to God through him, since he always lives to intercede for them.” Hebrews 7:25 #Faith <em>URL01 Removed</em>","0"
"695691218898956288","Have you heard of 'Anytime Protein'? --- @USER01 Brings Power to Everyday Men and Dads #ad <em>URL01 Removed</em>","0"
"876635085478346752","The next chapter in this saga is going to be epic
» Kratos Explores a New Land in this ‘God of War’ Gameplay Trailer <em>URL01 Removed</em>","0"
"690617976261853184","You've been facebooked @USER01 ~&gt; <em>URL01 Removed</em> #Authors Click here &amp; post your book~&gt; <em>URL02 Removed</em>","0"
"752729841653325825","What It Took To Rescue 26 Refugees From The Middle Of The Sea: Watch In 360: Inside The Mission To Save 26 Re... <em>URL01 Removed</em>","0"
"793047878042263552","Off to Sky News for after 2 discussing ..... Michael Gove of course !... <em>URL01 Removed</em>","0"
"857025391399063552","Q2: Do you enjoy mowing the lawn/doing yard maintenance? #LawnGoals #ad *Pls RT*","0"
"945709493954007040","FRIEND: are you going to watch star wars tonight?

ME: uhh…yeah…of course

[later]

ME: [looking up from telescope poi…","0"
"850021521804447744","Amazon could refund more than $70 million worth of kids' in-app purchases <em>URL01 Removed</em> <em>URL02 Removed</em>","0"
"973740438644387840","Don't worry guys, bananas will save us

<em>URL01 Removed</em>","0"
"806517585651101696","We can't wait to chat about how we inspire our kids (and how they inspire us!) #MelodyBeInspired #LiftYourVoice #ad
<em>URL01 Removed</em> <em>URL02 Removed</em>","0"
"703145807453655042","Want a Great Marriage? Go to Counseling: How marriage counselling can save your marriage before you even know ... <em>URL01 Removed</em>","0"
"888480275922997248","The latest From The DaDas Weekly! <em>URL01 Removed</em> Thanks to @USER01 @USER02 @USER03 #ad #visitindiana","0"
"922594235253182465","Daylight Savings Time - how to fall back with ease <em>URL01 Removed</em> #timechange <em>URL02 Removed</em>","0"
"723592028295057408","Looking For A #RewardingLife ? Earn Rewards For Living A Healthier Lifestyle With The John Ha... <em>URL01 Removed</em> via @USER01","0"
"950470770651815938","Beef Stroganoff with Mushroom Ravioli #ad #DinewithRana <em>URL01 Removed</em> <em>URL02 Removed</em>","0"
"984155640212934657","How to save yourself with a powerful inner dialogue. <em>URL01 Removed</em>","0"
"735236545863651329","Why travelling with your kids is worth it —&gt; <em>URL01 Removed</em>  @USER01 #TravelTuesday <em>URL02 Removed</em>","0"
"799454081626603520","I don’t write about books I don’t like. I do slip them into the Big Box of Books Giveaway.. Enter: <em>URL01 Removed</em> <em>URL02 Removed</em>","0"
"877927717877841920","The latest The Canadian Dads Daily! <em>URL01 Removed</em> Thanks to @USER01 @USER02 @USER03 #ad #canada150","0"
"972147357574942720","#Retiring soon? @USER02 learned to make sure you have these 5 things before your last day of work: AD <em>URL01 Removed</em>","0"
"697543370629996545","Is Everything Really Worth Knowing?: Are there times when a man's ignorance is acceptable, or even necessary?
... <em>URL01 Removed</em>","0"
"938084053886136321","Julia Stiles Shuts Down Concerned Trolls In Epic Instagram Post <em>URL01 Removed</em> <em>URL02 Removed</em>","0"
"693250419393445888","Thx for the follow @USER01 ❤ your product concept. Let's do a giveaway together. Info~&gt; <em>URL01 Removed</em> #Motherhood","0"
"971144275571257344","So true but so worth it   ❤️ <em>URL01 Removed</em>","0"
"959306593132191744","Parents fight to save 8-year-old girl dying from ""Childhood Alzheimer's"": <em>URL01 Removed</em>","0"
"917465694840803328","Third Grader Pens Epic Poem On Feminism And Twitter Is Dying Over It <em>URL01 Removed</em> <em>URL02 Removed</em>","0"
"709416402914975744","Q4: How would you describe your current style? #LeeEdge #ad *Pls RT*","0"
"769629586946613249","Sound Epidemic: Save Your Kids' Ears #technology via @USER01
<em>URL01 Removed</em>","0"
"739524465403518977","@USER01 of course I can :)","0"
"856264302701023233","Tiffiny Hall reveals the self-defence move that could save your life <em>URL01 Removed</em>","0"
"972505623748366336","Florida Lawmakers Pass Bill To Make Daylight Savings Time A Year-Round Thing <em>URL01 Removed</em> <em>URL02 Removed</em>","0"
"1011762737095983104","Q1. How many diapers do you estimate you have changed in your lifetime? #WipesWarrior #ad *Pls RT*","0"
"771282755522924544","Read your owner’s manual. #ThingsMechanicsWishEveryoneKnew #ad - <em>URL01 Removed</em> @USER01 <em>URL02 Removed</em>","0"
"737512687802843138","Why Patients with HIV are Giving Up Before They Even Start Treatment: HIV ‘test and treat’ strategy can save ... <em>URL01 Removed</em>","0"
"925654777601634305","#WIN a Mama to Bee necklace from Blooming Lovely Jewellery, worth £249! <em>URL01 Removed</em> @USER02 #winitw…","0"
"955100064208293891","Not to be doom and gloom, but we might be heading for the biggest distraction yet, and this is one that could save the worst Presidency in history. War. #resist","0"
"798637971360464897","I donated bone marrow to save the life of an 8-year-old girl: <em>URL01 Removed</em> <em>URL02 Removed</em>","0"
"710613227919413248","@USER01 Of course it does!","0"
"963952808511856640","<em>URL01 Removed</em>       
I am so excited about these new yogurts from @USER02 #ad #TargetBaby #HappyFamilyTarget…","0"
"689153788494544896","Those designer mistakes that are hard to give away could be worth (a little) cash: <em>URL01 Removed</em>","0"
"702584343043174400","Here's How to Save Yourself If You're Alone and You Start to Choke <em>URL01 Removed</em> <em>URL02 Removed</em> via @USER01","0"
"1012383037760442368","It’s An Updated Bedroom With Our New Zinus Mattress! @USER01 #Ad <em>URL01 Removed</em> <em>URL02 Removed</em>","0"
"938405115542822913","@USER01 @USER02 We appreciate your loyalty! Are you in the Rewards program?","0"
"855449507642851328","Time to save $ on @USER02 ! Get $1.50 off any 1 box of @USER03 Diapers. <em>URL01 Removed</em> #PampersCoupons #ad","0"
"996417969541603328","RT &amp; follow @USER02 to enter to #win a Barbie Bike! #tweets4toys #DynacraftBikeParty #giveaway <em>URL01 Removed</em>","0"
"706180175570927616","So excited for their first @USER01 Cinema experience! #Zootopia #DolbyCinema #ad #ShareAMC <em>URL01 Removed</em>","0"
